世界一やさしい エクセル ワード 2019/Microsoft 365対応	¥680＋税	2020/9/29	トップスタジオ　著
スッキリわかるPythonによる機械学習入門	¥3,000＋税	2020/9/25	
できるGoogleビジネス＋テレワーク パーフェクトブック 困った！＆便利ワザ大全	¥1,800＋税	2020/9/24	株式会社インサイトイメージ　著/できるシリーズ編集部　著
ディープラーニング構築テンプレート［AIプロジェクトの必須事項と技術的指針］	¥2,700＋税	2020/9/23	Adam Gibson　著/新郷 美紀　著
FLOWER FAIRIES Calendar 2021	¥1,200＋税	2020/9/18	シシリー・メアリー・バーカー　イラスト
毎日さがせ！ ウォーリーCALENDAR 2021	¥1,200＋税	2020/9/18	マーティン　ハンドフォード　イラスト
試験にココが出る！消防設備士4類［甲種・乙種］教科書＋実践問題 第2版	¥2,400＋税	2020/9/18	ノマド・ワークス　著/一般社団法人 東京防災設備保守協会　監修
日本を駆ける 新幹線カレンダー 2021	¥1,200＋税	2020/9/18	「旅と鉄道」編集部　編
四季を駆ける 特急カレンダー 2021	¥1,300＋税	2020/9/18	「旅と鉄道」編集部　著
カナヘイの小動物 ゆるっと伝言カレンダー	¥1,000＋税	2020/9/18	カナヘイ　イラスト
季節とともに、毎日を機嫌よく。 心と暮らしを整える手帳 2021	¥1,600＋税	2020/9/18	インプレス手帳編集部　編
ふわころことり Schedule Book 2021	¥1,300＋税	2020/9/18	インプレス⼿帳編集部　著
ドローンビジネス調査報告書2021【インフラ・設備点検編】	¥95,000＋税	2020/9/17	青山祐介　著/インプレス総合研究所　著
まんまるかわいい雪の妖精 シマエナガちゃん CALENDAR 2021	¥1,000＋税	2020/9/17	小原 玲　写真
すずめ暮らし CALENDAR 2021	¥1,000＋税	2020/9/17	中野さとる　写真
ましかくカレンダー ふわもふことり2021	¥900＋税	2020/9/17	インプレスカレンダー編集部　編
浮世絵カレンダー 2021	¥1,500＋税	2020/9/17	公益財団法人アダチ伝統木版画技術保存財団　監修
金子みすゞCALENDAR 2021	¥1,200＋税	2020/9/17	⾦⼦みすゞ　文/⾦⼦みすゞ著作保存会　他著
世界一やさしいウィンドウズ10 最新改訂版	¥480＋税	2020/9/17	リブロワークス　著
いちばんやさしいスマートフォンSEOの教本 人気講師が教える検索に強いスマホサイトの作り方	¥1,980＋税	2020/9/17	江沢真紀　著/コガン・ポリーナ　著/井上達也　著
癒やしのゴールデン・レトリーバー	¥1,500＋税	2020/9/16	インプレスカレンダー編集部　編
癒やしのウェルシュ・コーギー	¥1,500＋税	2020/9/16	インプレスカレンダー編集部　編
しばいぬ日和	¥1,000＋税	2020/9/16	森田米雄　写真
ましかくカレンダー かわいいこいぬ	¥800＋税	2020/9/16	小川晃代・湯沢祐介（アニマルラグーン）　写真
もふもふこいぬ	¥850＋税	2020/9/16	森田米雄　写真
ふわふわこわんこ	¥1,000＋税	2020/9/16	インプレスカレンダー編集部　編
ElasticStack実践ガイド［Logstash/Beats編］	¥3,500＋税	2020/9/16	⽇⽐野 恒　著
しばいぬ日和 mini	¥900＋税	2020/9/16	森田米雄　著
「Withコロナ」におけるデータセンター事業者のあり方 [潜在的な課題、COVID-19による影響分析から今後への提言まで]	¥90,000＋税	2020/9/15	(株)増永コンサルティング 増永直大　著/インプレス総合研究所　著
こころおだやかにニャる ゆるねこ×ブッダの言葉	¥900＋税	2020/9/15	アルボムッレ・スマナサーラ　監修/小川晃代・湯沢祐介（アニマルラグーン）　写真
小さいサイズのふわふわこにゃんこ	¥500＋税	2020/9/15	小川晃代・湯沢祐介（アニマルラグーン）　写真
ましかく子猫カレンダー 幸せこねこ	¥800＋税	2020/9/15	⽯橋 絵　写真
